restaurant_name,n_reviews,average_rating,restaurant_address,zip_code,price_level,restaurant_url,Take_out,Credit_Cards,Reservations,Outdoor,Pets,Walkins,Parkings,Delivery,Wheelchair,Group,Vegetarian,Casual,Classy,Catering,Cuisine_1,Cuisine_2,Cuisine_3
That Girl’s Coffee,,,"281 W Chestnut St Switz City, IN 47465",47465,2,https://www.yelp.com/biz/that-girl-s-coffee-switz-city?osq=Restaurants,1,1,0,1,1,1,0,1,1,0,1,0,0,0,Coffee & Tea,Desserts,Sandwiches
Port Hole Inn,25,3.9,"8939 E South Shore Dr Unionville, IN 47468",47468,2,https://www.yelp.com/biz/port-hole-inn-unionville?osq=Restaurants,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Beer Bar,American,Pizza
Nila’s Place,42,4.3,"8371 W State Road 56 West Baden Springs, IN 47469",47469,0,https://www.yelp.com/biz/nila-s-place-west-baden-springs?osq=Restaurants,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Breakfast & Brunch,,
Rishi's,5,3.6,"8145 W Sinclair St West Baden Springs, IN 47469",47469,2,https://www.yelp.com/biz/rishis-west-baden-springs?osq=Restaurants,1,1,1,0,1,1,1,0,0,1,0,0,0,0,Hot Dogs,Caribbean,New American
Ballard's in the Atrium,84,3.6,"8670 W State Rd 56 West Baden Springs Hotel French Lick, IN 47469",47469,0,https://www.yelp.com/biz/ballards-in-the-atrium-french-lick?osq=Restaurants,0,1,1,0,1,0,0,0,0,0,0,0,0,1,Bars,New American,
Route 67 Ice Cream & Diner,25,4,"1 S Commercial St Worthington, IN 47471",47471,0,https://www.yelp.com/biz/route-67-ice-cream-and-diner-worthington?osq=Restaurants,1,1,0,1,1,0,0,0,0,0,0,0,0,1,American,Ice Cream & Frozen Yogurt,Diners
Reid's Food & Stuff,17,4.7,"727 S State Rd 57 Washington, IN 47501",47501,0,https://www.yelp.com/biz/reids-food-and-stuff-washington?osq=Restaurants,0,1,0,0,1,0,0,0,0,0,1,1,1,0,Salad,Soup,Sandwiches
Knepp's Country Cafe,8,4.1,"4630 E US Highway 50 Washington, IN 47501",47501,0,https://www.yelp.com/biz/knepps-country-cafe-washington?osq=Restaurants,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Bakeries,Venues & Event Spaces,Buffets
The Hydrant Bar & Grill,16,3.8,"1401 W Walnut St Washington, IN 47501",47501,0,https://www.yelp.com/biz/the-hydrant-bar-and-grill-washington?osq=Restaurants,1,1,0,0,1,0,0,0,0,0,1,0,0,0,Bars,American,
Benjy's,19,4.4,"800 E National Hwy Washington, IN 47501",47501,0,https://www.yelp.com/biz/benjys-washington?osq=Restaurants,1,1,0,0,1,0,1,0,0,0,1,0,0,0,American,Breakfast & Brunch,
The Chamber,6,4.7,"422 E Main St Washington, IN 47501",47501,0,https://www.yelp.com/biz/the-chamber-washington?osq=Restaurants,0,0,0,1,0,0,0,0,1,0,1,0,0,0,Bars,Barbeque,
Aces Restaurant & Bar,13,4.5,"908 Bedford Rd Washington, IN 47501",47501,0,https://www.yelp.com/biz/aces-restaurant-and-bar-washington?osq=Restaurants,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Sports Bars,American,
The New White Steamer Hamburgers,59,4.4,"21 E Main St Washington, IN 47501",47501,0,https://www.yelp.com/biz/the-new-white-steamer-hamburgers-washington?osq=Restaurants,1,0,0,0,0,0,0,0,1,1,1,0,0,1,Diners,,
Taco Bell,3,1,"1515 E National Hwy Washington, IN 47501",47501,1,https://www.yelp.com/biz/taco-bell-washington-7,1,1,0,1,0,0,1,1,0,1,0,0,0,0,Fast Food,Mexican,
Papa Johns Pizza,4,3.8,"1735 S State Road 57 Ste 101 Washington, IN 47501",47501,1,https://www.yelp.com/biz/papa-johns-pizza-washington-24,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Pizza,Chicken Wings,Fast Food
KFC,8,3.6,"1447 E National Hwy Washington, IN 47501",47501,1,https://www.yelp.com/biz/kfc-washington-24,1,1,0,1,0,0,1,1,0,0,1,0,1,0,Fast Food,Chicken Wings,Chicken Shop
Pizza Hut,5,2.2,"1447 E National Hwy Washington, IN 47501",47501,1,https://www.yelp.com/biz/pizza-hut-washington-5,1,1,0,1,0,0,0,1,0,0,1,0,0,0,Pizza,Chicken Wings,Fast Food
Casey's,2,2,"1102 N Main St Bicknell, IN 47512",47512,1,https://www.yelp.com/biz/caseys-bicknell?osq=Restaurants,1,1,0,0,0,0,1,1,0,0,0,0,0,0,Pizza,,
Nicole's Restaurant,8,4.9,"301 W 11th St Bicknell, IN 47512",47512,0,https://www.yelp.com/biz/nicoles-restaurant-bicknell-3?osq=Restaurants,0,0,0,0,0,0,0,1,0,0,1,1,0,1,Italian,Pizza,
McDonald's,5,1.6,"401 W 11th St Bicknell, IN 47512",47512,1,https://www.yelp.com/biz/mcdonalds-bicknell-2?osq=Restaurants,1,0,0,1,1,0,1,1,0,0,0,0,0,1,Burgers,Fast Food,Coffee & Tea
Benny's off the Water,9,4.2,"2976 Dillard Rd Birdseye, IN 47513",47513,0,https://www.yelp.com/biz/bennys-off-the-water-birdseye?osq=Restaurants,1,0,0,1,0,0,0,0,0,1,0,0,1,0,Barbeque,New American,
Patio Steakhouse,26,3.8,"3120 E State Rd 66 Cannelton, IN 47520",47520,2,https://www.yelp.com/biz/patio-steakhouse-cannelton-2?osq=Restaurants,1,1,1,0,0,0,0,1,0,1,0,0,0,0,Steakhouses,,
Hoosier Hills Marina,9,3.1,"10306 E Lick Fork Marina Celestine, IN 47521",47521,2,https://www.yelp.com/biz/hoosier-hills-marina-celestine?osq=Restaurants,1,0,1,0,0,0,0,0,0,1,1,0,0,0,Marinas,Boat Dealers,American
Village Pizza,2,2.5,"102 Furlong St Crane, IN 47522",47522,0,https://www.yelp.com/biz/village-pizza-crane?osq=Restaurants,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Pizza,,
Lonely Night Saloon,5,4.2,"102 Furlong St Crane, IN 47522",47522,0,https://www.yelp.com/biz/lonely-night-saloon-crane?osq=Restaurants,0,1,0,0,1,0,1,0,0,1,1,0,0,1,Bars,Pizza,
Subway,2,4,"300 Hwy 361 Bldg 1893 Crane, IN 47522",47522,1,https://www.yelp.com/biz/subway-crane-3?osq=Restaurants,1,1,0,1,1,0,1,0,0,1,1,0,0,0,Fast Food,Sandwiches,
The Chateau,37,3.7,"6980 E State Rd 62 Mariah Hill, IN 47523",47523,2,https://www.yelp.com/biz/the-chateau-mariah-hill-2?osq=Restaurants,1,1,1,1,0,1,0,0,0,0,1,0,0,1,Bars,American,New American
Denny's,40,2.7,"812 N Conner Ct Dale, IN 47523",47523,2,https://www.yelp.com/biz/dennys-dale,1,0,0,0,0,1,1,0,1,0,1,0,0,1,Diners,American,Breakfast & Brunch
Jimador,32,4.1,"560 S Washington St Dale, IN 47523",47523,1,https://www.yelp.com/biz/jimador-dale?osq=Restaurants,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Mexican,,
Jimador Bar & Grill,6,5,"560 S Washington St Dale, IN 47523",47523,2,https://www.yelp.com/biz/jimador-bar-and-grill-dale?osq=Restaurants,1,1,0,0,0,0,1,0,0,0,0,0,0,1,Mexican,,
S&S BBQ and Annie’s Ice Cream,10,3.6,"115 S Washington St Dale, IN 47523",47523,2,https://www.yelp.com/biz/s-and-s-bbq-and-annie-s-ice-cream-dale?osq=Restaurants,1,1,0,1,0,1,0,0,1,0,1,0,0,0,Ice Cream & Frozen Yogurt,Barbeque,
